City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mareeba,AU,2022-04-01 00:10:04,-17.0,145.4333,303.39,45,4,0.63
68,Broken Hill,AU,2022-04-01 00:08:09,-31.95,141.4333,290.41,47,0,8.93
69,Yellowknife,CA,2022-04-01 00:06:48,62.456,-114.3525,262.27,83,100,7.7
70,Prince Rupert,CA,2022-04-01 00:10:05,54.3161,-130.3201,279.2,70,100,2.06
71,Peniche,PT,2022-04-01 00:10:06,39.3558,-9.3811,286.54,87,8,8.89
72,Ati,TD,2022-04-01 00:10:06,13.2154,18.3353,300.46,9,5,4.52
73,Mataura,NZ,2022-04-01 00:10:06,-46.1927,168.8643,285.87,50,100,2.0
74,Cherskiy,RU,2022-04-01 00:10:07,68.75,161.3,250.74,93,92,2.31
75,Port Keats,AU,2022-04-01 00:10:07,-14.25,129.55,303.39,62,86,1.99
76,Husavik,IS,2022-04-01 00:10:08,66.0449,-17.3389,273.42,98,100,1.23
77,Orange Cove,US,2022-04-01 00:07:32,36.6244,-119.3137,294.04,53,94,1.93
78,Boyolangu,ID,2022-04-01 00:10:08,-8.1181,111.8935,298.73,84,18,0.44
79,Tura,IN,2022-04-01 00:10:08,25.5198,90.2201,293.23,94,35,1.93
80,Aripuana,BR,2022-04-01 00:10:09,-9.1667,-60.6333,295.83,97,62,0.73
81,Georgetown,MY,2022-04-01 00:09:37,5.4112,100.3354,298.11,94,20,0.0
82,Chokurdakh,RU,2022-04-01 00:10:09,70.6333,147.9167,246.88,98,98,1.4
83,Victoria,HK,2022-04-01 00:06:48,22.2855,114.1577,293.36,90,100,5.81
84,Manokwari,ID,2022-04-01 00:10:10,-0.8667,134.0833,300.0,75,100,1.0
85,Arraial Do Cabo,BR,2022-04-01 00:10:10,-22.9661,-42.0278,297.79,88,35,4.23
86,Bengkulu,ID,2022-04-01 00:10:11,-3.8004,102.2655,297.06,78,84,1.87
87,Kodiak,US,2022-04-01 00:10:11,57.79,-152.4072,277.88,93,100,9.77
88,Bluff,NZ,2022-04-01 00:10:11,-46.6,168.3333,284.73,54,99,4.07
89,Vila Velha,BR,2022-04-01 00:06:58,-20.3297,-40.2925,300.12,87,75,1.54
90,Boa Viagem,BR,2022-04-01 00:10:12,-5.1275,-39.7322,295.49,92,100,0.99
91,Gumdag,TM,2022-04-01 00:10:12,39.2061,54.5906,285.23,48,4,3.35
92,Tuktoyaktuk,CA,2022-04-01 00:10:13,69.4541,-133.0374,248.14,93,100,3.07
93,Jamestown,US,2022-04-01 00:08:08,42.097,-79.2353,278.72,66,100,8.75
94,Hithadhoo,MV,2022-04-01 00:10:13,-0.6,73.0833,301.09,70,12,2.39
95,Ponta Do Sol,PT,2022-04-01 00:10:14,32.6667,-17.1,290.21,81,62,1.99
96,Rikitea,PF,2022-04-01 00:08:42,-23.1203,-134.9692,298.1,71,38,7.79
97,Vaini,TO,2022-04-01 00:08:42,-21.2,-175.2,300.46,76,100,3.21
98,Port Elizabeth,ZA,2022-04-01 00:08:42,-33.918,25.5701,292.09,81,95,5.81
99,Ushuaia,AR,2022-04-01 00:13:39,-54.8,-68.3,280.52,85,99,3.69
100,Cidreira,BR,2022-04-01 00:13:39,-30.1811,-50.2056,288.87,69,68,2.09
101,Hermanus,ZA,2022-04-01 00:08:43,-34.4187,19.2345,288.6,69,98,4.41
102,Sao Filipe,CV,2022-04-01 00:13:40,14.8961,-24.4956,295.58,73,20,3.66
103,Tocopilla,CL,2022-04-01 00:08:44,-22.092,-70.1979,292.81,74,19,3.23
104,Tautira,PF,2022-04-01 00:08:45,-17.7333,-149.15,300.8,72,33,5.33
105,Cordoba,AR,2022-04-01 00:08:45,-31.4135,-64.1811,287.27,62,0,4.12
106,Inegol,TR,2022-04-01 00:08:45,40.0781,29.5133,288.75,55,100,3.47
107,Punta Arenas,CL,2022-04-01 00:13:41,-53.15,-70.9167,283.21,62,75,9.26
108,Batie,BF,2022-04-01 00:13:41,9.8833,-2.9167,302.52,48,40,3.55
109,New Norfolk,AU,2022-04-01 00:08:46,-42.7826,147.0587,287.99,63,100,0.89
110,Bondo,CD,2022-04-01 00:13:42,3.8146,23.6866,297.4,61,85,1.31
111,Pisco,PE,2022-04-01 00:13:42,-13.7,-76.2167,293.18,73,0,1.54
112,Albany,US,2022-04-01 00:04:56,42.6001,-73.9662,288.37,91,100,2.98
113,Vila,PT,2022-04-01 00:08:47,42.0304,-8.1588,277.43,83,59,2.58
114,Port Alfred,ZA,2022-04-01 00:08:47,-33.5906,26.891,290.47,94,100,2.24
115,Airai,TL,2022-04-01 00:08:48,-8.9266,125.4092,293.06,60,4,0.58
116,Barrow,US,2022-04-01 00:08:48,71.2906,-156.7887,251.16,71,0,10.29
117,Hobart,AU,2022-04-01 00:06:42,-42.8794,147.3294,288.18,76,75,2.57
118,Morondava,MG,2022-04-01 00:08:48,-20.2833,44.2833,296.74,57,0,5.09
119,Busselton,AU,2022-04-01 00:04:07,-33.65,115.3333,294.48,78,16,5.56
120,Pacific Grove,US,2022-04-01 00:08:49,36.6177,-121.9166,292.52,76,40,4.12
121,Tianpeng,CN,2022-04-01 00:08:49,30.9866,103.9393,283.38,87,100,2.36
