City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
300,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
305,Samarai,PG,82.06,overcast clouds,-10.6167,150.6667,Nuli Sapi
310,Catemaco,MX,76.68,clear sky,18.4167,-95.1167,Hotel Playa Cristal
316,Fonte Boa,BR,77.22,overcast clouds,-2.4959,-66.2662,
318,El Alto,PE,71.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
319,Sao Filipe,CV,71.38,few clouds,14.8961,-24.4956,Hotel Xaguate
321,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
323,Mpika,ZM,70.3,moderate rain,-11.8343,31.4529,Melodies Lodge
324,Manaure,CO,82.38,overcast clouds,11.7751,-72.4445,Hotel Palaaima
326,Kinkala,CG,83.44,light rain,-4.3614,14.7644,Hotel la Pepeche Kinkala
327,Gunjur,GM,75.33,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
328,Novo Cruzeiro,BR,78.55,clear sky,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
332,Los Andes,CL,72.01,clear sky,-32.8337,-70.5983,Hotel Los Andes
333,Arraial Do Cabo,BR,82.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
334,Esmeraldas,BR,76.06,few clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
336,Kota Bahru,MY,82.35,few clouds,6.1333,102.2386,Grand Riverview Hotel
341,Wewak,PG,79.32,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
345,Rock Sound,BS,76.55,overcast clouds,24.9,-76.2,Pink Corral Bay Property
347,Badarganj,BD,83.57,clear sky,25.674,89.0549,Raushon
349,Shakawe,BW,79.21,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
358,Kirakira,SB,80.58,moderate rain,-10.4544,161.9205,SanBiz Lodge
375,Uige,AO,78.96,light rain,-7.6087,15.0613,Hotel Catraio
376,Waingapu,ID,78.66,few clouds,-9.6567,120.2641,Pondok Wisata Elim
379,Srandakan,ID,77.38,overcast clouds,-7.9386,110.2506,Puri Brata
384,Palestine,PS,78.94,clear sky,31.9216,35.2033,Grand Park Hotel
385,Thinadhoo,MV,84.18,overcast clouds,0.5333,72.9333,
386,Benguela,AO,80.44,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
388,Morondava,MG,84.0,clear sky,-20.2833,44.2833,La Case Bambou
389,Port-Gentil,GA,80.53,overcast clouds,-0.7193,8.7815,Fengshui Residence
392,Vanimo,PG,78.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
395,Urucara,BR,76.91,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
403,Menongue,AO,76.23,light rain,-14.6585,17.691,Ritz Lauca
404,La Macarena,CO,77.9,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
406,Bat Khela,PK,76.33,clear sky,34.6167,71.9714,Electric and pipe fitting
415,Ilhabela,BR,81.57,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
422,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
426,Campechuela,CU,82.13,clear sky,20.2342,-77.2789,
432,Emerald,AU,73.54,clear sky,-23.5333,148.1667,The Irish Village
433,Musoma,TZ,77.67,broken clouds,-1.5,33.8,New Peninsula Hotel
437,Manokwari,ID,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
438,Eyl,SO,82.58,broken clouds,7.9803,49.8164,Amiin Hotel
442,Nueva Concepcion,GT,83.89,clear sky,14.2,-91.3,Hotel Villa Las Flores
443,Sal Rei,CV,75.4,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
444,Pimenteiras,BR,82.63,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
446,Ursulo Galvan,MX,75.2,clear sky,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
449,Los Banos,PH,81.09,broken clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
450,Houston,US,72.34,mist,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
451,Sola,VU,81.86,overcast clouds,-13.8833,167.55,Leumerus Bungalows
452,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
456,Puro,PH,79.81,overcast clouds,12.4841,123.3827,
461,Tual,ID,82.67,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
463,San Cristobal,VE,79.81,overcast clouds,7.7669,-72.225,Pirineos
466,Blantyre,MW,74.34,light rain,-15.785,35.0085,Home Up Guest House
470,Missungwi,TZ,81.82,broken clouds,-2.85,33.0833,Sundi Bar and Lodge
473,Sambava,MG,80.28,moderate rain,-14.2667,50.1667,Melrose
475,Goma,CD,71.87,light rain,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
476,Kavieng,PG,80.29,moderate rain,-2.5744,150.7967,Nusa Island Retreat
480,Monrovia,LR,83.37,broken clouds,6.3005,-10.7969,Sunset Inn
482,Gizo,SB,81.81,moderate rain,-8.103,156.8419,Imagination Island
486,Meulaboh,ID,77.43,overcast clouds,4.1363,96.1285,Kost Pria
488,Dwarka,IN,80.78,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
489,Faya,SA,75.7,clear sky,18.3851,42.4509,املاك خالد الشعشوع
490,Los Algarrobos,PA,77.41,scattered clouds,8.5,-82.4333,Waterfall Hostel
492,Bacolod,PH,79.83,overcast clouds,10.6667,122.95,Planta Hotel & Residences
502,Chimoio,MZ,82.26,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
503,Aguas Formosas,BR,83.3,broken clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
504,Davila,PH,77.77,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
506,Darnah,LY,77.45,scattered clouds,32.767,22.6367,فندق الفردوس
510,Florianopolis,BR,78.62,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
511,Chicama,PE,73.0,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
515,Kisesa,TZ,72.45,light rain,-3.0833,34.15,
518,Port Keats,AU,81.72,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
521,Cukai,MY,79.39,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
524,Mkushi,ZM,77.14,scattered clouds,-13.6202,29.3939,Mkushi Police Club
525,San Pedro,PH,81.36,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
526,Buin,CL,71.87,clear sky,-33.7333,-70.75,Paihuen
527,Namibe,AO,75.24,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
528,Kismayo,SO,83.88,broken clouds,-0.3582,42.5454,Agan-Hotel
532,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
533,Namatanai,PG,78.55,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
541,Qui Nhon,VN,73.18,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
548,Cabinda,AO,84.06,overcast clouds,-5.55,12.2,Hotel Maiombe
556,Asosa,ET,82.65,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
560,San Policarpo,PH,80.91,light rain,12.1791,125.5072,Agapita M. Nicart
567,Ambilobe,MG,80.17,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
573,Khash,IR,81.79,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
577,Sechura,PE,72.63,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
578,Moroni,KM,82.2,light rain,-11.7022,43.2551,Hotel les Arcades
581,Abong Mbang,CM,84.87,overcast clouds,3.9833,13.1833,Auberge Angle Sur
582,Serenje,ZM,74.62,light rain,-13.2325,30.2352,The Kabaso's
587,Bull Savanna,JM,78.93,scattered clouds,17.8868,-77.5902,Big Red's
590,Buala,SB,81.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
597,Bandarbeyla,SO,81.97,overcast clouds,9.4942,50.8122,JABIR HOTEL
598,Yeppoon,AU,73.18,few clouds,-23.1333,150.7333,Villa Mar Colina
600,Dingle,PH,77.25,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
601,Odiong,PH,78.89,overcast clouds,10.2858,123.0526,Tambayan ni Tess
602,Huarmey,PE,71.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
604,Solok,ID,72.55,broken clouds,-0.7918,100.6593,Mami Hotel & Restaurant
606,Amapa,BR,76.64,overcast clouds,1.0,-52.0,
607,Nova Olinda Do Norte,BR,83.16,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
616,Indramayu,ID,80.69,broken clouds,-6.3264,108.32,Grand Trisula Hotel
618,Petatlan,MX,71.4,clear sky,17.5167,-101.2667,Hotel California Petatlán
619,Mahajanga,MG,83.44,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
620,Vao,NC,79.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
621,Mbekenyera,TZ,81.59,light rain,-10.0,38.9833,
623,Merauke,ID,80.55,overcast clouds,-8.4667,140.3333,
625,Labuhan,ID,78.67,few clouds,-6.8844,112.2051,DoubleFAG
627,Mbanza-Ngungu,CD,82.8,broken clouds,-5.25,14.8667,Hotel Full Business
628,Papar,MY,78.8,broken clouds,5.7333,115.9333,Koposizon Homestay
629,Camana,PE,71.62,scattered clouds,-16.6228,-72.7111,Hostal Morales
631,Kirkuk,IQ,80.62,clear sky,35.4681,44.3922,Cihad Oteli
634,Butajira,ET,78.26,broken clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
638,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
639,Cockburn Town,TC,78.3,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
641,Hobyo,SO,83.68,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
647,Pandan,PH,79.03,overcast clouds,14.0453,124.1694,Bonifacio Lodge
648,Nedjo,ET,80.22,overcast clouds,9.5046,35.5019,Yerosan Hotel
649,Papara,BR,77.4,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
654,Saint Marys,US,71.13,clear sky,30.7305,-81.5465,Spencer House Inn
655,Kulhudhuffushi,MV,83.3,overcast clouds,6.6221,73.07,Haajy Guest House 1
657,Kilimatinde,TZ,84.24,overcast clouds,-5.85,34.95,
658,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
659,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
661,Pochutla,MX,75.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
667,Mogadishu,SO,83.21,few clouds,2.0371,45.3438,Hotel Juba
671,Jertih,MY,77.09,overcast clouds,5.7336,102.4897,One Utama Hotel
672,Matara,LK,78.4,few clouds,5.9485,80.5353,Amaloh Boutique Resort
674,Narsipatnam,IN,80.31,few clouds,17.6667,82.6167,Lodge Vooda Residency AC
677,Ramanathapuram,IN,84.97,few clouds,9.3833,78.8333,Golden Residency
682,Bac Lieu,VN,80.31,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
